id,post_datetime,post_date,post_time,zero_updated,voltage_l1_l12,voltage_l2_l23,voltage_l3_l31,current_l1,current_l2,current_l3,kw_l1,kw_l2,kw_l3,kvar_l1,kvar_l2,kvar_l3,kva_l1,kva_l2,kva_l3,power_factor_l1,power_factor_l2,power_factor_l3,total_kw,total_kvar,total_kva,total_pf,avg_frequency,neutral_current,volt_thd_l1_l12,volt_thd_l2_l23,volt_thd_l3_l31,current_thd_l1,current_thd_l2,current_thd_l3,current_tdd_l1,current_tdd_l2,current_tdd_l3,kwh_import,kwh_export,kvarh_import,kvah_total,max_amp_demand_l1,max_amp_demand_l2,max_amp_demand_l3,max_sliding_window_kw_demand,accum_kw_demand,max_sliding_window_kva_demand,present_sliding_window_kw_demand,present_sliding_window_kva_demand,accum_kva_demand,pf_import_at_maximum_kva_sliding_window_demand,client,branch,device
12708525,2025-03-01T00:05:08,2025-03-01,00:05:08,false,231.8,232.8,230.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709002,2025-03-01T01:05:08,2025-03-01,01:05:08,false,232.4,232.7,230.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709011,2025-03-01T01:10:08,2025-03-01,01:10:08,false,232,232.3,231.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709020,2025-03-01T01:15:08,2025-03-01,01:15:08,false,232.2,232.8,230.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709029,2025-03-01T01:20:08,2025-03-01,01:20:08,false,232.3,232.2,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709038,2025-03-01T01:25:08,2025-03-01,01:25:08,false,232.4,232.5,230.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709047,2025-03-01T01:30:08,2025-03-01,01:30:08,false,232,232.4,231.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709056,2025-03-01T01:35:08,2025-03-01,01:35:08,false,232.4,232.7,230.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709065,2025-03-01T01:40:08,2025-03-01,01:40:08,false,231.8,232.6,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709074,2025-03-01T01:45:08,2025-03-01,01:45:08,false,232.5,232.6,230.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709083,2025-03-01T01:50:08,2025-03-01,01:50:08,false,231.9,232.9,230.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709092,2025-03-01T01:55:08,2025-03-01,01:55:08,false,232.1,232.3,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709171,2025-03-01T02:05:08,2025-03-01,02:05:08,false,232,232.3,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709210,2025-03-01T02:10:08,2025-03-01,02:10:08,false,232.5,232.2,230.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12709270,2025-03-01T02:15:08,2025-03-01,02:15:08,false,231.9,232.4,231.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12732637,2025-03-03T05:05:08,2025-03-03,05:05:08,false,229.9,232.1,230.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12732665,2025-03-03T05:10:08,2025-03-03,05:10:08,false,231.8,232.2,232.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12732716,2025-03-03T05:15:08,2025-03-03,05:15:08,false,230.8,231.9,234.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12732743,2025-03-03T05:20:08,2025-03-03,05:20:08,false,230.6,232.6,234.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12732789,2025-03-03T05:25:08,2025-03-03,05:25:08,false,232,232.1,234.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12732815,2025-03-03T05:30:08,2025-03-03,05:30:08,false,230.9,232.4,232.9,14,24,16,2.4,3,3,-1.6,-1.4,-1.4,0.01312910284463895,0.016411378555798686,0.016411378555798686,0,0,0,10.8,-4.8,0.05908096280087528,182.8,0,0,0,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12732862,2025-03-03T05:35:08,2025-03-03,05:35:08,false,233.9,232.4,238.7,78,52,30,18.2,6.8,6.8,0.8,-1.6,-0.6,0.09109109109109108,0.03403403403403403,0.03403403403403403,0,0,0,37,-1.4,0.18518518518518517,199.8,0,0,0,0,0,0,0,0,0,0,0,5826,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12732888,2025-03-03T05:40:08,2025-03-03,05:40:08,false,233.4,232.3,236.5,62,54,30,14.4,6.6,6.6,0,-1.6,-0.2,0.07214428857715431,0.033066132264529056,0.033066132264529056,0,0,0,33.2,-2,0.16633266533066135,199.6,0,0,0,0,0,0,0,0,0,0,0,5828,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12732935,2025-03-03T05:45:08,2025-03-03,05:45:08,false,233.4,232.1,236.9,72,54,30,16.4,6.8,6.8,0,-1.4,-0.2,0.08208208208208206,0.03403403403403403,0.03403403403403403,0,0,0,35.4,-1.6,0.17717717717717715,199.8,0,0,0,0,0,0,0,0,0,0,0,5832,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12732957,2025-03-03T05:50:08,2025-03-03,05:50:08,false,234.6,232.8,236.4,76,80,46,17.6,10.6,10.6,0.2,1.2,0.2,0.08808808808808809,0.05305305305305305,0.05305305305305305,0,0,0,46.6,1.8,0.23323323323323322,199.8,0,0,0,0,0,0,0,0,0,0,0,5834,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733003,2025-03-03T05:55:08,2025-03-03,05:55:08,false,234,232,234.9,74,80,48,17,10.8,10.8,0,1,0.2,0.085,0.054000000000000006,0.054000000000000006,0,0,0,46.2,1.2,0.231,200,0,0,0,0,0,0,0,0,0,0,0,5840,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733072,2025-03-03T06:05:09,2025-03-03,06:05:09,false,234.3,231.8,235.1,74,82,48,17,11,11,0,0.8,0.2,0.085,0.055,0.055,0,0,0,46.8,1.4,0.23399999999999999,200,0,0,0,0,0,0,0,0,0,0,0,5846,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733098,2025-03-03T06:10:09,2025-03-03,06:10:09,false,234.2,232.3,236,74,80,48,17,11.2,11.2,0,0.8,0.2,0.085,0.055999999999999994,0.055999999999999994,0,0,0,46.8,1.4,0.23399999999999999,200,0,0,0,0,0,0,0,0,0,0,0,5850,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733180,2025-03-03T06:15:09,2025-03-03,06:15:09,false,234.5,232.4,235.4,82,96,56,19,13,13,0.4,1.6,0.8,0.09519038076152304,0.06513026052104208,0.06513026052104208,0,0,0,54.2,3,0.27154308617234474,199.6,0,0,0,0,0,0,0,0,0,0,0,5854,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733206,2025-03-03T06:20:09,2025-03-03,06:20:09,false,234.3,233.3,235.8,82,98,58,18.8,13.2,13.2,0.4,1.6,0.8,0.0940940940940941,0.06606606606606606,0.06606606606606606,0,0,0,55,3,0.27527527527527523,199.8,0,0,0,0,0,0,0,0,0,0,0,5860,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733257,2025-03-03T06:25:08,2025-03-03,06:25:08,false,234.4,233.7,236.3,86,94,58,20,13.4,13.4,0.8,0.8,1,0.10010010010010009,0.06706706706706707,0.06706706706706707,0,0,0,55,2.6,0.27527527527527523,199.8,0,0,0,0,0,0,0,0,0,0,0,5864,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733282,2025-03-03T06:30:08,2025-03-03,06:30:08,false,234.1,233.5,235.4,80,102,58,18.4,13.2,13.2,0.4,1.2,0.8,0.09209209209209208,0.06606606606606606,0.06606606606606606,0,0,0,55.2,2.8,0.27627627627627627,199.8,0,0,0,0,0,0,0,0,0,0,0,5868,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733335,2025-03-03T06:35:08,2025-03-03,06:35:08,false,234.3,232.8,234.5,80,102,58,18.6,13.2,13.2,0.4,1.2,0.8,0.09309309309309309,0.06606606606606606,0.06606606606606606,0,0,0,55.4,2.6,0.27727727727727725,199.8,0,0,0,0,0,0,0,0,0,0,0,5874,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733365,2025-03-03T06:40:08,2025-03-03,06:40:08,false,234,233.2,235.1,80,96,64,18.6,14.6,14.6,0.4,1,0.8,0.09309309309309309,0.07307307307307306,0.07307307307307306,0,0,0,55.8,2.4,0.27927927927927926,199.8,0,0,0,0,0,0,0,0,0,0,0,5878,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733419,2025-03-03T06:45:08,2025-03-03,06:45:08,false,234.8,232.8,235.1,90,114,68,20.8,15.4,15.4,1,2.2,1,0.10420841683366734,0.07715430861723448,0.07715430861723448,0,0,0,62.6,4.4,0.31362725450901807,199.6,0,0,0,0,0,0,0,0,0,0,0,5882,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733450,2025-03-03T06:50:08,2025-03-03,06:50:08,false,235.6,232.3,235.3,98,124,62,22.8,14.4,14.4,1.8,2.4,1.2,0.11434302908726178,0.07221664994984955,0.07221664994984955,0,0,0,65.8,5.4,0.3299899699097292,199.4,0,0,0,0,0,0,0,0,0,0,0,5888,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733505,2025-03-03T06:55:08,2025-03-03,06:55:08,false,235.5,232.6,236.2,102,124,66,23.6,15,15,1.8,2.2,1.2,0.11835506519558676,0.07522567703109327,0.07522567703109327,0,0,0,67,5.4,0.33600802407221664,199.4,0,0,0,0,0,0,0,0,0,0,0,5894,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733583,2025-03-03T07:05:09,2025-03-03,07:05:09,false,235.6,232.7,236.8,98,114,62,22.8,14.4,14.4,1.8,1.8,1.2,0.11434302908726178,0.07221664994984955,0.07221664994984955,0,0,0,63.6,4.8,0.31895687061183553,199.4,0,0,0,0,0,0,0,0,0,0,0,5904,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733685,2025-03-03T07:15:08,2025-03-03,07:15:08,false,235.2,233.6,237.6,98,106,70,22.8,16,16,1.8,1.6,1.4,0.11434302908726178,0.0802407221664995,0.0802407221664995,0,0,0,63.4,5,0.31795386158475425,199.4,0,0,0,0,0,0,0,0,0,0,0,5916,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733718,2025-03-03T07:20:08,2025-03-03,07:20:08,false,235.4,233.3,237.5,102,114,76,23.4,17.8,17.8,2,2.2,1.6,0.11746987951807229,0.08935742971887552,0.08935742971887552,0,0,0,67.6,6,0.3393574297188755,199.2,0,0,0,0,0,0,0,0,0,0,0,5920,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733776,2025-03-03T07:25:08,2025-03-03,07:25:08,false,235,234.3,237.2,98,112,84,22.6,19.2,19.2,2,2.4,2.2,0.1135678391959799,0.0964824120603015,0.0964824120603015,0,0,0,67.6,6.8,0.33969849246231154,199,0,0,0,0,0,0,0,0,0,0,0,5926,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733807,2025-03-03T07:30:08,2025-03-03,07:30:08,false,235.5,233.9,237.2,106,120,86,24.4,19.8,19.8,2.2,2.6,2,0.12261306532663316,0.09949748743718594,0.09949748743718594,0,0,0,72.4,7,0.36381909547738694,199,0,0,0,0,0,0,0,0,0,0,0,5932,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
12733865,2025-03-03T07:35:08,2025-03-03,07:35:08,false,235.4,234.5,238.6,96,102,84,22.4,19.4,19.4,2,2.2,2.2,0.11256281407035175,0.09748743718592964,0.09748743718592964,0,0,0,65.8,6.6,0.33065326633165826,199,0,0,0,0,0,0,0,0,0,0,0,5938,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,301
