id,post_datetime,post_date,post_time,zero_updated,voltage_l1_l12,voltage_l2_l23,voltage_l3_l31,current_l1,current_l2,current_l3,kw_l1,kw_l2,kw_l3,kvar_l1,kvar_l2,kvar_l3,kva_l1,kva_l2,kva_l3,power_factor_l1,power_factor_l2,power_factor_l3,total_kw,total_kvar,total_kva,total_pf,avg_frequency,neutral_current,volt_thd_l1_l12,volt_thd_l2_l23,volt_thd_l3_l31,current_thd_l1,current_thd_l2,current_thd_l3,current_tdd_l1,current_tdd_l2,current_tdd_l3,kwh_import,kwh_export,kvarh_import,kvah_total,max_amp_demand_l1,max_amp_demand_l2,max_amp_demand_l3,max_sliding_window_kw_demand,accum_kw_demand,max_sliding_window_kva_demand,present_sliding_window_kw_demand,present_sliding_window_kva_demand,accum_kva_demand,pf_import_at_maximum_kva_sliding_window_demand,client,branch,device
12714405,2025-03-01T14:15:08,2025-03-01,14:15:08,false,232.4,231.5,231.4,14.4,54,20.4,2.6,4.4,4.4,-1.7,-1.6,-0.7,0.022146507666098807,0.03747870528109029,0.03747870528109029,0,0,0,19.6,-4.1,0.16695059625212946,117.4,0,0,0,0,0,0,0,0,0,0,0,7443.6,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,300
12714436,2025-03-01T14:20:08,2025-03-01,14:20:08,false,232.5,231.3,231.5,14.4,54,19.2,2.6,4.2,4.2,-1.7,-1.1,-0.8,0.022071307300509338,0.035653650254668934,0.035653650254668934,0,0,0,19.3,-3.7,0.1638370118845501,117.8,0,0,0,0,0,0,0,0,0,0,0,7444.8,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,300
12714488,2025-03-01T14:25:09,2025-03-01,14:25:09,false,232.6,231.3,231.6,14.4,51.6,19.2,2.8,4.2,4.2,-1.7,-1.1,-0.8,0.023769100169779286,0.035653650254668934,0.035653650254668934,0,0,0,18.7,-3.6,0.15874363327674024,117.8,0,0,0,0,0,0,0,0,0,0,0,7447.2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,300
12714519,2025-03-01T14:30:09,2025-03-01,14:30:09,false,232.2,231.3,231.5,14.4,49.2,19.2,2.8,4.2,4.2,-1.7,-1.1,-0.8,0.023809523809523808,0.03571428571428572,0.03571428571428572,0,0,0,18.4,-3.6,0.1564625850340136,117.6,0,0,0,0,0,0,0,0,0,0,0,7448.4,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,300
12714571,2025-03-01T14:35:09,2025-03-01,14:35:09,false,232.4,231.4,231.4,14.4,51.6,19.2,2.8,4.2,4.2,-1.7,-1.1,-0.8,0.023789294817332197,0.0356839422259983,0.0356839422259983,0,0,0,18.7,-3.7,0.1588785046728972,117.7,0,0,0,0,0,0,0,0,0,0,0,7449.6,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,300
12714601,2025-03-01T14:40:09,2025-03-01,14:40:09,false,232.6,231.3,231.6,14.4,50.4,19.2,2.6,4.2,4.2,-1.7,-1.1,-0.8,0.022108843537414966,0.03571428571428572,0.03571428571428572,0,0,0,18.6,-3.7,0.15816326530612246,117.6,0,0,0,0,0,0,0,0,0,0,0,7452,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,300
12714653,2025-03-01T14:45:08,2025-03-01,14:45:08,false,232.5,231.3,231.6,14.4,51.6,19.2,2.8,4.2,4.2,-1.7,-1.1,-0.8,0.023789294817332197,0.0356839422259983,0.0356839422259983,0,0,0,18.7,-3.7,0.1588785046728972,117.7,0,0,0,0,0,0,0,0,0,0,0,7453.2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,300
12714684,2025-03-01T14:50:08,2025-03-01,14:50:08,false,232,231.4,231.3,14.4,46.8,19.2,2.6,4.2,4.2,-1.7,-1.2,-0.8,0.022203245089666954,0.035866780529462,0.035866780529462,0,0,0,17.5,-3.8,0.14944491887275832,117.1,0,0,0,0,0,0,0,0,0,0,0,7454.4,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,300
12714736,2025-03-01T14:55:08,2025-03-01,14:55:08,false,232.4,231.4,231.5,14.4,50.4,19.2,2.6,4.2,4.2,-1.7,-1.2,-0.8,0.022127659574468085,0.03574468085106383,0.03574468085106383,0,0,0,18.5,-3.8,0.1574468085106383,117.5,0,0,0,0,0,0,0,0,0,0,0,7456.8,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,300
12714837,2025-03-01T15:05:08,2025-03-01,15:05:08,false,232.5,231.4,231.6,14.4,50.4,20.4,2.6,4.6,4.6,-1.7,-1.2,-0.8,0.022108843537414966,0.0391156462585034,0.0391156462585034,0,0,0,18.8,-3.8,0.1598639455782313,117.6,0,0,0,0,0,0,0,0,0,0,0,7459.2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,300
